codigo,secao_id,secao,grupo_id,grupo_descricao,classe_id,classe_observacoes,anexo_base,anexo_just,fator_r,aliquota_inicial,contabilizei_atende,contabilizei_just,mei_iss_fixo_das,mei_icms_fixo_das,risco_baixo_cgsim,risco_cgsim_desc_oficial,vedado_simples_cgsn_anexo_vi,ambiguo_simples_cgsn_anexo_vii,anexo_fator_r_confianca,iss_bh_aliquota,iss_bh_varia,iss_bh_detalhe,conselho_fonte,conselho_confianca,exige_registro_setorial,registro_setorial_qual,registro_setorial_fonte,motivo_nao_atende_fala,familia_rotulo
4929902,H,"TRANSPORTE, ARMAZENAGEM E CORREIO",492,TRANSPORTE RODOVIÁRIO DE PASSAGEIROS,49299,"Esta classe compreende - o transporte rodoviário coletivo de passageiros, sob o regime de fretamento | - a organização de excursões em veículos rodoviários próprios | - o transporte de empregados para terceiros | - outros transportes rodoviários de passageiros, sem itinerário fixo, não especificados anteriormente || Esta classe NÃO compreende - os serviços de ambulâncias (86.22-4) | - o transporte escolar (49.24-8) | - a locação de automóveis com motorista ou condutor (49.23-0) | - a locação de automóveis sem motorista ou condutor (77.11-0) | - o transporte turístico em veículos de tração animal (93.29-8)",III/IV/V*,serviço — anexo exato depende da atividade + Fator R (determinar na camada fiscal),,,nao,divisão/classe recusada (mapeado das 17 categorias do suporte),N,S,nao,,nao,sim,media,,,,,,nao-verificado,,,"Essa atividade paga ICMS, e a gente cuida só de quem paga ISS, que é o imposto de serviço.",nao-se-aplica
1610204,C,INDÚSTRIAS DE TRANSFORMAÇÃO,161,DESDOBRAMENTO DE MADEIRA,16102,"Esta classe compreende - a fabricação de madeira bruta desdobrada (serrada) e de madeira resserrada (pranchas, pranchões, postes, tábuas, barrotes, aplainados para caixas e engradados e semelhantes) | - a fabricação de pisos de madeira e tábuas para assoalho e teto | - a fabricação de dormentes para vias férreas || Esta classe compreende ainda - a fabricação de lã e de partículas de madeira para qualquer fim | - a secagem, preservação e imunização da madeira | - a fabricação de briquetes de resíduos de madeira (carvão ecológico) || Esta classe NÃO compreende - a produção florestal de madeira em bruto (divisão 02) | - a fabricação de chapas de madeira compensada, prensada ou aglomerada (16.21-8) | - a fabricação de estruturas de madeira e vigamentos para construção (16.22-6)",II,indústria (regra por seção),,,nao,divisão/classe recusada (mapeado das 17 categorias do suporte),,,nao,,nao,nao,,,,,,,nao-verificado,,,"Essa atividade é de comércio ou indústria, e a gente cuida só de prestação de serviço.",nao-se-aplica
1610203,C,INDÚSTRIAS DE TRANSFORMAÇÃO,161,DESDOBRAMENTO DE MADEIRA,16102,"Esta classe compreende - a fabricação de madeira bruta desdobrada (serrada) e de madeira resserrada (pranchas, pranchões, postes, tábuas, barrotes, aplainados para caixas e engradados e semelhantes) | - a fabricação de pisos de madeira e tábuas para assoalho e teto | - a fabricação de dormentes para vias férreas || Esta classe compreende ainda - a fabricação de lã e de partículas de madeira para qualquer fim | - a secagem, preservação e imunização da madeira | - a fabricação de briquetes de resíduos de madeira (carvão ecológico) || Esta classe NÃO compreende - a produção florestal de madeira em bruto (divisão 02) | - a fabricação de chapas de madeira compensada, prensada ou aglomerada (16.21-8) | - a fabricação de estruturas de madeira e vigamentos para construção (16.22-6)",II,indústria (regra por seção),,,nao,divisão/classe recusada (mapeado das 17 categorias do suporte),,,nao,,nao,nao,,,,,,,nao-verificado,,,"Essa atividade é de comércio ou indústria, e a gente cuida só de prestação de serviço.",nao-se-aplica
4623105,G,COMÉRCIO; REPARAÇÃO DE VEÍCULOS AUTOMOTORES E MOTOCICLETAS,462,COMÉRCIO ATACADISTA DE MATÉRIAS-PRIMAS AGRÍCOLAS E ANIMAIS VIVOS,46231,"Esta classe compreende - o comércio atacadista de: | #- animais vivos: bovinos, suínos, caprinos, ovinos, eqüinos, etc | #- alimentos para animais: rações e outros produtos alimentícios, inclusive para animais de estimação | #- couros, lãs, peles e outros subprodutos não-comestíveis de origem animal: chifres, ossos, crinas, penas e plumas, etc. | #- matérias-primas agrícolas: cana-de-açúcar, algodão, fumo em folha não beneficiado, cacau em baga, sisal, fios e fibras ##têxteis não beneficiadas, etc. | #- sementes para lavouras, flores, plantas e gramas | #- outras matérias-primas agrícolas ou animal referentes a esta classe || Esta classe compreende ainda - o comércio atacadista de sub-produtos do abate de animais com beneficiamento primário, tais como: | #- couros e peles em bruto e curtidos ou preparados para sua transformação | #- esterco de animais para adubo, não tratado e resíduos vegetais para alimentação animal | #- ervas medicinais em bruto | #- látex natural e borracha || Esta classe NÃO compreende - o comércio atacadista de: | #- carnes e produtos da carne (46.34-6) | #- leite e produtos do leite (46.31-1) | #- aves e pequenos animais vivos para alimentação (46.33-8) | #- produtos hortifrutigranjeiros (46.33-8) | #- cereais beneficiados (46.32-0) | #- fios e fibras têxteis beneficiadas (46.89-3) | #- produtos veterinários (46.44-3) | #- produtos químicos para uso na agricultura (46.84-2) | #- madeira em bruto (46.71-1) | #- café em grão (46.21-4) | #- soja (46.22-2) | #- óleo de soja em bruto e farelo de soja (10.41-4)",I,comércio (regra por seção),,,atende,presumido (serviço/comércio leve no Simples; validar),,,nao,,nao,nao,,,,,,,nao-verificado,,,"Essa atividade é de comércio ou indústria, e a gente cuida só de prestação de serviço.",nao-se-aplica
3314705,C,INDÚSTRIAS DE TRANSFORMAÇÃO,331,MANUTENÇÃO E REPARAÇÃO DE MÁQUINAS E EQUIPAMENTOS,33147,"Esta classe compreende - a manutenção e reparação de motores, bombas, compressores e equipamentos de transmissão | - a manutenção e reparação de válvulas industriais | - a manutenção e reparação de fornos industriais e equipamentos para instalações térmicas | - a manutenção e reparação de equipamentos para transporte e elevação de cargas(exceto elevadores, escadas ou esteiras rolantes) | - a manutenção e reparação de máquinas e aparelhos de refrigeração e ventilação de uso industrial e comercial | - a manutenção e reparação de máquinas e equipamentos para saneamento básico e ambiental | - a manutenção e reparação de máquinas e equipamentos de uso geral, não especificados anteriormente | - a manutenção e reparação de máquinas e equipamentos para agricultura, avicultura e usos semelhantes | - a manutenção e reparação de máquinas-ferramenta | - a manutenção e reparação de tratores | - a manutenção e reparação de máquinas e equipamentos de uso na extração mineral e construção | - a manutenção e reparação de máquinas e equipamentos para a indústria siderúrgica e metalurgia em geral | - a manutenção e reparação de máquinas e equipamentos para as indústrias alimentar, de bebida e fumo | - a manutenção e reparação de máquinas e equipamentos para a indústria têxtil, do vestuário, couro e calçados | - a manutenção e reparação de máquinas e equipamentos para as indústrias de celulose, papel, papel-cartão, papelão e artefatos | - a manutenção e reparação de máquinas e equipamentos para usos industriais não especificados anteriormente || Esta classe NÃO compreende - a instalação de motores, bombas, compressores e equipamentos de transmissão (33.21-0) | - a instalação de máquinas e equipamentos de uso geral (33.21-0) | - a instalação de máquinas e equipamentos para agricultura, avicultura e usos semelhantes (33.21-0) | - a instalação de máquinas-ferramentas (33.21-0) | - a instalação de máquinas e equipamentos de uso na extração mineral, construção, terraplenagem e pavimentação (33.21-0) | - a instalação de máquinas e equipamentos para a indústria siderúrgica e metalurgia em geral (33.21-0) | - a instalação de máquinas e equipamentos para as indústrias alimentar, de bebida e fumo (33.21-0) | - a instalação de máquinas e equipamentos para a indústria têxtil, do vestuário, couro e calçados (33.21-0) | - a instalação de máquinas e equipamentos para as indústrias de celulose, papel, papelão, cartão e artefatos (33.21-0) | - a instalação de máquinas e equipamentos para usos industriais, não especificados (33.21-0) | - a instalação , manutenção e reparação de elevadores, escadas ou esteiras rolantes, quando executadas por unidades especializadas(43.29-1)",II,indústria (regra por seção),,,nao,divisão/classe recusada (mapeado das 17 categorias do suporte),,,nao,,nao,nao,,5,nao,"Lubrificação, limpeza, lustração, revisão, conserto, restauração, blindagem, manutenção e conservação de motores, máquinas, aparelhos, equipamentos ou de qualquer objeto (exceto peças e partes empregadas, que ficam sujeitas ao ICMS). (CTISS 1401-0/01-88, LC116 14.01, 5%) || Assistência técnica (CTISS 1402-0/01-88, LC116 14.02, 5%)",,,nao,,,"Essa atividade é de comércio ou indústria, e a gente cuida só de prestação de serviço.",nao-se-aplica
4623106,G,COMÉRCIO; REPARAÇÃO DE VEÍCULOS AUTOMOTORES E MOTOCICLETAS,462,COMÉRCIO ATACADISTA DE MATÉRIAS-PRIMAS AGRÍCOLAS E ANIMAIS VIVOS,46231,"Esta classe compreende - o comércio atacadista de: | #- animais vivos: bovinos, suínos, caprinos, ovinos, eqüinos, etc | #- alimentos para animais: rações e outros produtos alimentícios, inclusive para animais de estimação | #- couros, lãs, peles e outros subprodutos não-comestíveis de origem animal: chifres, ossos, crinas, penas e plumas, etc. | #- matérias-primas agrícolas: cana-de-açúcar, algodão, fumo em folha não beneficiado, cacau em baga, sisal, fios e fibras ##têxteis não beneficiadas, etc. | #- sementes para lavouras, flores, plantas e gramas | #- outras matérias-primas agrícolas ou animal referentes a esta classe || Esta classe compreende ainda - o comércio atacadista de sub-produtos do abate de animais com beneficiamento primário, tais como: | #- couros e peles em bruto e curtidos ou preparados para sua transformação | #- esterco de animais para adubo, não tratado e resíduos vegetais para alimentação animal | #- ervas medicinais em bruto | #- látex natural e borracha || Esta classe NÃO compreende - o comércio atacadista de: | #- carnes e produtos da carne (46.34-6) | #- leite e produtos do leite (46.31-1) | #- aves e pequenos animais vivos para alimentação (46.33-8) | #- produtos hortifrutigranjeiros (46.33-8) | #- cereais beneficiados (46.32-0) | #- fios e fibras têxteis beneficiadas (46.89-3) | #- produtos veterinários (46.44-3) | #- produtos químicos para uso na agricultura (46.84-2) | #- madeira em bruto (46.71-1) | #- café em grão (46.21-4) | #- soja (46.22-2) | #- óleo de soja em bruto e farelo de soja (10.41-4)",I,comércio (regra por seção),,,atende,presumido (serviço/comércio leve no Simples; validar),,,nao,,nao,nao,,,,,,,nao-verificado,,,"Essa atividade é de comércio ou indústria, e a gente cuida só de prestação de serviço.",nao-se-aplica
4623107,G,COMÉRCIO; REPARAÇÃO DE VEÍCULOS AUTOMOTORES E MOTOCICLETAS,462,COMÉRCIO ATACADISTA DE MATÉRIAS-PRIMAS AGRÍCOLAS E ANIMAIS VIVOS,46231,"Esta classe compreende - o comércio atacadista de: | #- animais vivos: bovinos, suínos, caprinos, ovinos, eqüinos, etc | #- alimentos para animais: rações e outros produtos alimentícios, inclusive para animais de estimação | #- couros, lãs, peles e outros subprodutos não-comestíveis de origem animal: chifres, ossos, crinas, penas e plumas, etc. | #- matérias-primas agrícolas: cana-de-açúcar, algodão, fumo em folha não beneficiado, cacau em baga, sisal, fios e fibras ##têxteis não beneficiadas, etc. | #- sementes para lavouras, flores, plantas e gramas | #- outras matérias-primas agrícolas ou animal referentes a esta classe || Esta classe compreende ainda - o comércio atacadista de sub-produtos do abate de animais com beneficiamento primário, tais como: | #- couros e peles em bruto e curtidos ou preparados para sua transformação | #- esterco de animais para adubo, não tratado e resíduos vegetais para alimentação animal | #- ervas medicinais em bruto | #- látex natural e borracha || Esta classe NÃO compreende - o comércio atacadista de: | #- carnes e produtos da carne (46.34-6) | #- leite e produtos do leite (46.31-1) | #- aves e pequenos animais vivos para alimentação (46.33-8) | #- produtos hortifrutigranjeiros (46.33-8) | #- cereais beneficiados (46.32-0) | #- fios e fibras têxteis beneficiadas (46.89-3) | #- produtos veterinários (46.44-3) | #- produtos químicos para uso na agricultura (46.84-2) | #- madeira em bruto (46.71-1) | #- café em grão (46.21-4) | #- soja (46.22-2) | #- óleo de soja em bruto e farelo de soja (10.41-4)",I,comércio (regra por seção),,,atende,presumido (serviço/comércio leve no Simples; validar),,,nao,,nao,nao,,,,,,,nao-verificado,,,"Essa atividade é de comércio ou indústria, e a gente cuida só de prestação de serviço.",nao-se-aplica
5620102,I,ALOJAMENTO E ALIMENTAÇÃO,562,"SERVIÇOS DE CATERING, BUFÊ E OUTROS SERVIÇOS DE COMIDA PREPARADA",56201,"Esta classe compreende - os serviços de bufê para banquetes, coquetéis, recepções, etc . | - a preparação de refeições em cozinha central por conta de terceiros (catering) para fornecimento a empresas de linhas aéreas e outras empresas de transporte | - as cantinas, restaurantes de empresas e outros serviços de alimentação || Esta classe compreende ainda - a preparação de refeições ou pratos cozidos, inclusive congelados, entregues ou servidos em domicílios.",I,"comercio (fornecimento de alimentacao -- Decreto 7.212/2010 RIPI art.5o I 'a', nao e industrializacao, tratado como revenda de mercadoria -- Simples Nacional Anexo I)",,,atende,presumido (serviço/comércio leve no Simples; validar),S,S,nao,,nao,nao,,5,nao,"Organização de festas e recepções; bufê (exceto o fornecimento de alimentação e bebidas que fica sujeito ao ICMS). (CTISS 1711-0/01-88, LC116 17.11, 5%) || Preparo de alimentos (CTISS 1711-0/02-88, LC116 17.11, 5%)",,,nao,,,"Essa atividade é de comércio ou indústria, e a gente cuida só de prestação de serviço.",nao-se-aplica
6611802,K,"ATIVIDADES FINANCEIRAS, DE SEGUROS E SERVIÇOS RELACIONADOS",661,ATIVIDADES AUXILIARES DOS SERVIÇOS FINANCEIROS,66118,"Esta classe compreende - as atividades de organização e gestão de um mercado contínuo para negociação de títulos e valores mobiliários. São exercidas por entidades constituídas pela associação das sociedades corretoras locais na forma de associações civis sem fins lucrativos, com autonomia administrativa, financeira e patrimonial | - as atividades de operação e supervisão de Bolsas de Mercadorias por instituições independentes das autoridades públicas | - as atividades de operação e supervisão de Bolsas de Mercadorias e Futuros por instituições independentes das autoridades públicas | - as atividades de administração de mercados de balcão organizados",III/IV/V*,serviço — anexo exato depende da atividade + Fator R (determinar na camada fiscal),,,nao,divisão/classe recusada (mapeado das 17 categorias do suporte),,,nao,,sim,nao,media,,,,,,nao-verificado,,,"Essa atividade não pode optar pelo Simples Nacional, e a gente trabalha só com Simples.",nao-se-aplica
6611803,K,"ATIVIDADES FINANCEIRAS, DE SEGUROS E SERVIÇOS RELACIONADOS",661,ATIVIDADES AUXILIARES DOS SERVIÇOS FINANCEIROS,66118,"Esta classe compreende - as atividades de organização e gestão de um mercado contínuo para negociação de títulos e valores mobiliários. São exercidas por entidades constituídas pela associação das sociedades corretoras locais na forma de associações civis sem fins lucrativos, com autonomia administrativa, financeira e patrimonial | - as atividades de operação e supervisão de Bolsas de Mercadorias por instituições independentes das autoridades públicas | - as atividades de operação e supervisão de Bolsas de Mercadorias e Futuros por instituições independentes das autoridades públicas | - as atividades de administração de mercados de balcão organizados",III/IV/V*,serviço — anexo exato depende da atividade + Fator R (determinar na camada fiscal),,,nao,divisão/classe recusada (mapeado das 17 categorias do suporte),,,nao,,sim,nao,media,,,,,,nao-verificado,,,"Essa atividade não pode optar pelo Simples Nacional, e a gente trabalha só com Simples.",nao-se-aplica
6611804,K,"ATIVIDADES FINANCEIRAS, DE SEGUROS E SERVIÇOS RELACIONADOS",661,ATIVIDADES AUXILIARES DOS SERVIÇOS FINANCEIROS,66118,"Esta classe compreende - as atividades de organização e gestão de um mercado contínuo para negociação de títulos e valores mobiliários. São exercidas por entidades constituídas pela associação das sociedades corretoras locais na forma de associações civis sem fins lucrativos, com autonomia administrativa, financeira e patrimonial | - as atividades de operação e supervisão de Bolsas de Mercadorias por instituições independentes das autoridades públicas | - as atividades de operação e supervisão de Bolsas de Mercadorias e Futuros por instituições independentes das autoridades públicas | - as atividades de administração de mercados de balcão organizados",III/IV/V*,serviço — anexo exato depende da atividade + Fator R (determinar na camada fiscal),,,nao,divisão/classe recusada (mapeado das 17 categorias do suporte),,,nao,,sim,nao,media,,,,,,nao-verificado,,,"Essa atividade não pode optar pelo Simples Nacional, e a gente trabalha só com Simples.",nao-se-aplica
0111301,A,"AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA",011,PRODUÇÃO DE LAVOURAS TEMPORÁRIAS,01113,"Esta classe compreende - o cultivo de alpiste, arroz, aveia, centeio, cevada, milho, milheto, painço, sorgo, trigo, trigo preto, triticale e outros cereais não especificados anteriormente || Esta classe compreende ainda - o beneficiamento de cereais em estabelecimento agrícola, quando atividade complementar ao cultivo | - a produção de sementes de cereais, quando atividade complementar ao cultivo || Esta classe NÃO compreende - a produção de sementes certificadas dos cereais desta classe, inclusive modificadas geneticamente (01.41-5) | - os serviços de preparação de terreno, cultivo e colheita realizados sob contrato (01.61-0) | - o beneficiamento de cereais em estabelecimento agrícola realizado sob contrato (01.63-6) | - o processamento ou beneficiamento de cereais em estabelecimento não-agrícola (grupo 10.4) e (grupo 10.6) | - a produção de biocombustível (19.32-2)",III/IV/V*,serviço — anexo exato depende da atividade + Fator R (determinar na camada fiscal),,,nao,divisão/classe recusada (mapeado das 17 categorias do suporte),,,nao,,nao,nao,media,,,,,,nao-verificado,,,"Essa atividade precisa de vistoria e alvará antes de abrir, e a gente abre só o que tem liberação automática.",nao-se-aplica
0111302,A,"AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA",011,PRODUÇÃO DE LAVOURAS TEMPORÁRIAS,01113,"Esta classe compreende - o cultivo de alpiste, arroz, aveia, centeio, cevada, milho, milheto, painço, sorgo, trigo, trigo preto, triticale e outros cereais não especificados anteriormente || Esta classe compreende ainda - o beneficiamento de cereais em estabelecimento agrícola, quando atividade complementar ao cultivo | - a produção de sementes de cereais, quando atividade complementar ao cultivo || Esta classe NÃO compreende - a produção de sementes certificadas dos cereais desta classe, inclusive modificadas geneticamente (01.41-5) | - os serviços de preparação de terreno, cultivo e colheita realizados sob contrato (01.61-0) | - o beneficiamento de cereais em estabelecimento agrícola realizado sob contrato (01.63-6) | - o processamento ou beneficiamento de cereais em estabelecimento não-agrícola (grupo 10.4) e (grupo 10.6) | - a produção de biocombustível (19.32-2)",III/IV/V*,serviço — anexo exato depende da atividade + Fator R (determinar na camada fiscal),,,nao,divisão/classe recusada (mapeado das 17 categorias do suporte),,,nao,,nao,nao,media,,,,,,nao-verificado,,,"Essa atividade precisa de vistoria e alvará antes de abrir, e a gente abre só o que tem liberação automática.",nao-se-aplica
0111303,A,"AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA",011,PRODUÇÃO DE LAVOURAS TEMPORÁRIAS,01113,"Esta classe compreende - o cultivo de alpiste, arroz, aveia, centeio, cevada, milho, milheto, painço, sorgo, trigo, trigo preto, triticale e outros cereais não especificados anteriormente || Esta classe compreende ainda - o beneficiamento de cereais em estabelecimento agrícola, quando atividade complementar ao cultivo | - a produção de sementes de cereais, quando atividade complementar ao cultivo || Esta classe NÃO compreende - a produção de sementes certificadas dos cereais desta classe, inclusive modificadas geneticamente (01.41-5) | - os serviços de preparação de terreno, cultivo e colheita realizados sob contrato (01.61-0) | - o beneficiamento de cereais em estabelecimento agrícola realizado sob contrato (01.63-6) | - o processamento ou beneficiamento de cereais em estabelecimento não-agrícola (grupo 10.4) e (grupo 10.6) | - a produção de biocombustível (19.32-2)",III/IV/V*,serviço — anexo exato depende da atividade + Fator R (determinar na camada fiscal),,,nao,divisão/classe recusada (mapeado das 17 categorias do suporte),,,nao,,nao,nao,media,,,,,,nao-verificado,,,"Essa atividade precisa de vistoria e alvará antes de abrir, e a gente abre só o que tem liberação automática.",nao-se-aplica
7729201,N,ATIVIDADES ADMINISTRATIVAS E SERVIÇOS COMPLEMENTARES,772,ALUGUEL DE OBJETOS PESSOAIS E DOMÉSTICOS,77292,"Esta classe compreende - o aluguel de aparelhos de jogos eletrônicos | - o aluguel de móveis, utensílios e aparelhos eletroeletrônicos de uso doméstico e pessoal | - o aluguel de instrumentos musicais | - o aluguel de material médico, como cadeiras de roda, camas hospitalares, muletas, inaladores, etc | - o aluguel de plantas e flores | - o aluguel de livros e revistas | - o aluguel de outros objetos de uso pessoal e doméstico não especificados anteriormente || Esta classe compreende ainda - o aluguel de móveis de escritório || Esta classe NÃO compreende - a locação de automóveis, caminhões, motos e outros veículos terrestres, sem condutor (grupo 77.1) | - o aluguel de material telefônico (77.33-1) | - o empréstimo de livros e revistas por bibliotecas (91.01-5) | - a exploração de jogos eletrônicos recreativos (93.29-8) | - os serviços associados de aluguel e lavagem de roupas de cama, mesa e banho, de uniformes de trabalho e artigos relacionados (96.01-7)",III/IV/V*,serviço — anexo exato depende da atividade + Fator R (determinar na camada fiscal),,,nao,divisão/classe recusada (mapeado das 17 categorias do suporte),N,N,sim,Aluguel de aparelhos de jogos eletrônicos,nao,nao,alta,,,,,,nao,,,,Aluguel de equipamentos
0111399,A,"AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA",011,PRODUÇÃO DE LAVOURAS TEMPORÁRIAS,01113,"Esta classe compreende - o cultivo de alpiste, arroz, aveia, centeio, cevada, milho, milheto, painço, sorgo, trigo, trigo preto, triticale e outros cereais não especificados anteriormente || Esta classe compreende ainda - o beneficiamento de cereais em estabelecimento agrícola, quando atividade complementar ao cultivo | - a produção de sementes de cereais, quando atividade complementar ao cultivo || Esta classe NÃO compreende - a produção de sementes certificadas dos cereais desta classe, inclusive modificadas geneticamente (01.41-5) | - os serviços de preparação de terreno, cultivo e colheita realizados sob contrato (01.61-0) | - o beneficiamento de cereais em estabelecimento agrícola realizado sob contrato (01.63-6) | - o processamento ou beneficiamento de cereais em estabelecimento não-agrícola (grupo 10.4) e (grupo 10.6) | - a produção de biocombustível (19.32-2)",III/IV/V*,serviço — anexo exato depende da atividade + Fator R (determinar na camada fiscal),,,nao,divisão/classe recusada (mapeado das 17 categorias do suporte),,,nao,,nao,nao,alta,,,,,,nao-verificado,,,"Essa atividade precisa de vistoria e alvará antes de abrir, e a gente abre só o que tem liberação automática.",nao-se-aplica
0112101,A,"AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA",011,PRODUÇÃO DE LAVOURAS TEMPORÁRIAS,01121,"Esta classe compreende - o cultivo de algodão herbáceo | - o cultivo de juta, junco, linho, malva, rami, sorgo vassoura e outras fibras de lavoura temporária não especificadas anteriormente || Esta classe compreende ainda - o descaroçamento do algodão, quando atividade complementar ao cultivo | - o processo de maceração e secagem das fibras desta classe | - a produção de sementes e mudas das fibras desta classe, quando atividade complementar ao cultivo || Esta classe NÃO compreende - o cultivo de algodão arbóreo (01.39-3) | - a produção de sementes e mudas certificadas das fibras desta classe, inclusive modificadas geneticamente (grupo 01.4) | - os serviços de preparação de terreno, cultivo e colheita realizados sob contrato (01.61-0) | - o serviço de descaroçamento de algodão realizado sob contrato (01.63-6) | - a preparação do algodão e de outras fibras de lavoura temporária, em estabelecimento não-agrícola (13.11-1) e (13.12-0)",III/IV/V*,serviço — anexo exato depende da atividade + Fator R (determinar na camada fiscal),,,nao,divisão/classe recusada (mapeado das 17 categorias do suporte),,,nao,,nao,nao,media,,,,,,nao-verificado,,,"Essa atividade precisa de vistoria e alvará antes de abrir, e a gente abre só o que tem liberação automática.",nao-se-aplica
0112102,A,"AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA",011,PRODUÇÃO DE LAVOURAS TEMPORÁRIAS,01121,"Esta classe compreende - o cultivo de algodão herbáceo | - o cultivo de juta, junco, linho, malva, rami, sorgo vassoura e outras fibras de lavoura temporária não especificadas anteriormente || Esta classe compreende ainda - o descaroçamento do algodão, quando atividade complementar ao cultivo | - o processo de maceração e secagem das fibras desta classe | - a produção de sementes e mudas das fibras desta classe, quando atividade complementar ao cultivo || Esta classe NÃO compreende - o cultivo de algodão arbóreo (01.39-3) | - a produção de sementes e mudas certificadas das fibras desta classe, inclusive modificadas geneticamente (grupo 01.4) | - os serviços de preparação de terreno, cultivo e colheita realizados sob contrato (01.61-0) | - o serviço de descaroçamento de algodão realizado sob contrato (01.63-6) | - a preparação do algodão e de outras fibras de lavoura temporária, em estabelecimento não-agrícola (13.11-1) e (13.12-0)",III/IV/V*,serviço — anexo exato depende da atividade + Fator R (determinar na camada fiscal),,,nao,divisão/classe recusada (mapeado das 17 categorias do suporte),,,nao,,nao,nao,media,,,,,,nao-verificado,,,"Essa atividade precisa de vistoria e alvará antes de abrir, e a gente abre só o que tem liberação automática.",nao-se-aplica
0112199,A,"AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA",011,PRODUÇÃO DE LAVOURAS TEMPORÁRIAS,01121,"Esta classe compreende - o cultivo de algodão herbáceo | - o cultivo de juta, junco, linho, malva, rami, sorgo vassoura e outras fibras de lavoura temporária não especificadas anteriormente || Esta classe compreende ainda - o descaroçamento do algodão, quando atividade complementar ao cultivo | - o processo de maceração e secagem das fibras desta classe | - a produção de sementes e mudas das fibras desta classe, quando atividade complementar ao cultivo || Esta classe NÃO compreende - o cultivo de algodão arbóreo (01.39-3) | - a produção de sementes e mudas certificadas das fibras desta classe, inclusive modificadas geneticamente (grupo 01.4) | - os serviços de preparação de terreno, cultivo e colheita realizados sob contrato (01.61-0) | - o serviço de descaroçamento de algodão realizado sob contrato (01.63-6) | - a preparação do algodão e de outras fibras de lavoura temporária, em estabelecimento não-agrícola (13.11-1) e (13.12-0)",III/IV/V*,serviço — anexo exato depende da atividade + Fator R (determinar na camada fiscal),,,nao,divisão/classe recusada (mapeado das 17 categorias do suporte),,,nao,,nao,nao,alta,,,,,,nao-verificado,,,"Essa atividade precisa de vistoria e alvará antes de abrir, e a gente abre só o que tem liberação automática.",nao-se-aplica
0113000,A,"AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA",011,PRODUÇÃO DE LAVOURAS TEMPORÁRIAS,01130,"Esta classe compreende - o cultivo de cana-de-açúcar || Esta classe compreende ainda - a produção de toletes (mudas) de cana-de-açúcar, quando atividade complementar ao cultivo || Esta classe NÃO compreende - a produção de toletes (mudas) certificadas de cana-de-açúcar, inclusive modificadas geneticamente (01.42-3) | - os serviços de preparação de terreno, cultivo e corte da cana realizados sob contrato (01.61-0) | - a produção de açúcar em bruto (usinas de açúcar) (10.71-6) | - a fabricação, refino e moagem de açúcar de cana (10.72-4) | - a produção de álcool de cana (19.31-4)",III/IV/V*,serviço — anexo exato depende da atividade + Fator R (determinar na camada fiscal),,,nao,divisão/classe recusada (mapeado das 17 categorias do suporte),,,nao,,nao,nao,media,,,,,,nao-verificado,,,"Essa atividade precisa de vistoria e alvará antes de abrir, e a gente abre só o que tem liberação automática.",nao-se-aplica
0114800,A,"AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA",011,PRODUÇÃO DE LAVOURAS TEMPORÁRIAS,01148,"Esta classe compreende - o cultivo de fumo || Esta classe compreende ainda - o processamento do fumo através de secagem, defumação e outros processos, quando atividade complementar ao cultivo | - a produção de semente de fumo, quando atividade complementar ao cultivo || Esta classe NÃO compreende - a produção de sementes certificadas de fumo, inclusive modificadas geneticamente (01.41-5) | - os serviços de preparação de terreno, cultivo e colheita realizados sob contrato (01.61-0) | - o processamento do fumo através de secagem, defumação e outros processos realizado em unidade industrial (12.10-7)",III/IV/V*,serviço — anexo exato depende da atividade + Fator R (determinar na camada fiscal),,,nao,divisão/classe recusada (mapeado das 17 categorias do suporte),,,nao,,nao,nao,media,,,,,,nao-verificado,,,"Essa atividade precisa de vistoria e alvará antes de abrir, e a gente abre só o que tem liberação automática.",nao-se-aplica
